Electricity_Usage_kWh,Car_Travel_km_per_week,Flights_per_year,Meat_Consumption_kg_per_week,Carbon_Footprint
152,43,4,1.000388670377681,294.6038867037768
485,285,6,2.716812969308866,626.6681296930886
398,127,3,0.5510914014533859,379.91091401453383
320,230,5,2.608972888973568,482.0897288897357
156,189,3,0.7533647405682681,273.3336474056827
121,224,2,1.0346806232063237,215.64680623206326
238,282,6,1.028868110496972,485.6886811049697
70,120,7,3.421446359522286,443.21446359522287
152,115,3,3.857201956694405,287.57201956694405
171,232,1,3.1251594429372185,213.15159442937218
264,258,9,4.829776468135439,681.8977646813544
380,197,2,2.1869176078566683,351.26917607856666
137,136,0,1.7857043882683734,113.55704388268373
422,164,7,4.408696076852571,637.8869607685257
149,224,2,1.5061812733375368,234.3618127333754
409,233,9,4.834501427482751,749.4450142748275
201,171,6,0.5546951361041735,440.24695136104174
180,151,9,4.8644547201843755,618.8445472018439
199,159,4,0.6942196037775925,338.24219603777595
358,95,9,4.51014401164132,693.1014401164132
307,232,4,2.874654990888349,428.64654990888346
393,179,6,4.968341582536851,581.9834158253684
463,112,8,0.8320845413092949,662.2208454130929
343,51,4,2.9923442798059434,411.62344279805944
435,267,0,4.861861410285945,319.51861410285943
241,294,9,2.8539402987656697,657.8394029876566
493,112,9,3.332293871608681,752.2229387160868
326,100,0,3.630869100430777,219.30869100430778
210,112,1,2.5454347914549795,202.8543479145498
363,80,5,3.3240113603782855,480.74011360378285
71,186,8,3.129414403653951,503.9941440365395
302,112,7,4.5552110472094505,568.9521104720944
285,1,4,0.7045087115365605,349.7450871153656
394,129,0,1.7643343531650364,240.44334353165038
98,219,6,4.7768516783445145,440.56851678344515
108,53,4,4.506187027509124,309.66187027509125
219,223,5,2.5504553875357083,429.6045538753571
237,224,6,3.2905966901069155,496.2059669010692
320,125,2,1.748215323415097,302.482153234151
239,129,9,1.3465452187569258,608.7654521875692
495,52,2,2.5866428222299196,383.76642822229917
224,171,4,2.0900850261172375,367.10085026117235
495,217,5,3.1264525033289243,572.1645250332892
100,159,8,0.8498058663424317,490.29805866342434
413,197,4,4.884776634497749,494.74776634497744
104,246,0,4.937948350158213,150.57948350158213
293,202,3,3.6417277130888532,373.3172771308885
369,183,4,2.9124336485485416,450.2243364854854
180,122,9,1.892874273288475,583.3287427328847
356,254,9,4.162077588681269,720.4207758868126
184,293,4,3.5812902764924566,386.4129027649246
70,279,6,1.231776227052011,403.11776227052013
378,97,3,4.5991723302222915,404.3917233022229
216,197,0,4.201417593154261,189.41417593154262
323,239,4,4.774099609813658,457.0409960981366
437,143,6,3.7657377877476197,584.7573778774762
138,96,9,3.2603683817110545,570.8036838171106
365,200,9,2.382093663307785,696.3209366330778
63,123,5,4.69727817509306,353.07278175093063
291,186,4,4.397287502751837,426.67287502751833
314,258,3,0.7034840154778523,365.63484015477854
395,147,1,0.6186513852376341,283.0865138523763
102,251,3,2.1940851509512234,273.14085150951223
435,146,9,4.147489988518248,738.1748998851825
389,147,9,4.94274258191725,723.3274258191725
141,198,2,1.1768760099658768,221.86876009965877
416,127,9,3.173588219084608,715.135882190846
493,38,0,2.214008854839597,276.240088548396
477,128,7,4.864614790165715,662.7461479016572
313,266,4,4.289535154110689,452.5953515411069
480,150,3,4.27247917120012,462.7247917120012
84,297,7,2.609119219077366,477.49119219077363
255,98,6,2.3666877605194934,470.76687760519496
130,262,1,1.7303318236881782,184.70331823688178
469,251,0,0.753689734929172,292.2368973492917
99,143,3,4.3912506931477395,272.0125069314774
409,111,7,4.158054541085349,618.2805454108535
437,59,1,4.998729529787588,330.2872952978759
51,1,2,4.984865766832574,175.54865766832575
439,253,0,2.9994426752118235,300.09442675211824
103,139,0,3.9604433683122973,118.90443368312296
155,36,2,4.751445784470926,232.21445784470924
309,159,4,4.323413258048351,429.5341325804835
359,8,2,1.6130664578443894,297.2306645784439
240,232,0,2.527448608895421,191.6744860889542
451,98,0,1.0812173681817274,255.91217368181728
267,146,7,4.793229622664251,560.6322962266426
93,207,9,3.2277858550289604,570.1778585502896
211,130,1,1.5288926247655823,196.7889262476558
251,151,2,3.5226530798263553,290.92653079826357
495,53,1,3.2815770820605312,340.9157708206053
319,119,2,2.111732231147782,304.41732231147785
400,160,6,1.0110091648983306,542.1100916489833
353,115,0,3.522079380167598,234.720793801676
320,74,9,2.84138465406707,653.2138465406706
264,112,7,3.975432762810377,544.1543276281037
301,103,9,2.84073575500397,649.5073575500397
239,253,9,4.334816751433431,663.4481675143343
345,226,9,2.9835807744851848,697.5358077448519
262,111,1,3.0242208719092383,233.44220871909238
257,98,2,4.444941211962552,292.5494121196255
286,152,8,2.315672897955787,596.5567289795579
387,193,6,1.1030685280278834,543.1306852802788
416,162,3,0.6295220434100254,396.69522043410024
102,207,9,3.8981176505312853,581.3811765053129
329,168,4,3.291392981090591,431.01392981090595
459,160,1,3.668358956446506,348.1835895644651
266,67,7,1.4583387267900982,510.983387267901
301,288,3,1.1136716401404638,369.23671640140464
237,276,8,0.5654509955054687,579.3545099550547
429,134,4,2.077644014629686,462.0764401462969
90,194,8,3.154629590845849,515.3462959084585
206,127,3,2.2650982029487956,301.05098202948795
64,32,9,2.468637149106781,513.0863714910678
350,175,4,4.5687141252218675,455.6871412522187
114,21,8,2.067149601604852,481.8714960160485
394,237,7,2.8129527012191486,622.5295270121915
376,157,2,4.026438557335144,359.6643855733514
58,37,0,2.2844425204457157,59.24442520445716
393,229,2,3.2993901510254307,375.29390151025433
178,50,3,4.380636689360353,292.8063668936035
185,263,1,4.77284280645939,242.82842806459388
112,282,0,1.1618306641806706,124.01830664180672
188,26,6,4.6696443132267245,445.8964431322672
130,225,7,2.714523318857922,487.1452331885792
441,276,6,1.6620997473453125,592.3209974734532
212,285,4,2.566110903072176,388.6611090307218
468,96,0,4.910146588784647,302.30146588784646
338,283,6,2.7167814229679133,552.7678142296792
428,146,6,1.979382246293787,562.9938224629379
310,3,8,3.350303844425266,589.1030384442527
280,34,2,1.5806552845018689,262.6065528450187
90,191,8,0.8413849764889876,491.6138497648899
77,48,0,1.0799587485979214,58.89958748597921
184,16,0,1.076206275309976,105.96206275309976
250,171,3,1.1835621208053246,321.0356212080532
377,219,8,1.1247222769223457,643.5472227692234
317,157,5,3.383936351614466,473.73936351614464
467,45,2,1.3184603797961518,355.68460379796153
82,5,0,2.055502774957384,62.55502774957384
97,98,3,4.535547844577053,263.4554784457705
456,232,8,2.6328273811829255,700.7282738118292
111,36,2,3.504009823344622,197.74009823344622
265,279,8,1.2754394204073343,601.0543942040733
342,180,6,1.3653005846390185,520.6530058463902
148,94,3,0.6839087731991549,249.63908773199157
221,98,2,1.2602077838247405,242.7020778382474
409,187,9,1.7536565256438137,709.4365652564381
263,115,4,1.2965471792453607,367.4654717924536
84,190,4,0.8991614019067502,288.9916140190675
498,252,2,1.0428614199527035,409.828614199527
276,160,8,2.573504456147266,595.7350445614727
150,255,3,1.4285017328260663,290.28501732826066
480,127,4,2.1392143747163397,486.7921437471634
180,17,3,2.765377718846856,271.0537771884686
306,280,4,3.606776728832144,445.0677672883214
54,222,6,0.6769046292849452,378.16904629284943
267,53,8,4.097346795090692,585.0734679509069
304,57,6,3.3255517527090848,496.6555175270908
447,173,4,0.8679156437699236,466.77915643769927
408,279,9,4.431103808480497,754.1110380848049
332,113,9,4.643925802393159,685.0392580239317
442,287,6,0.7748508193468868,586.1485081934688
256,150,9,1.7459494166624168,625.4594941666242
64,126,4,4.127905759068776,298.4790575906877
395,154,2,3.867168606726463,366.9716860672646
91,272,6,1.3303445871036979,413.20344587103693
429,103,1,1.4420719550151964,299.52071955015197
228,298,8,2.167124462561219,595.2712446256122
112,245,9,2.680353433359596,581.803534333596
401,175,9,3.282146471886332,718.3214647188634
280,38,0,2.160111378063976,169.20111378063976
290,169,5,2.5814062225991656,454.6140622259917
101,246,6,3.8636192216019043,438.336192216019
145,25,7,0.6650744130076905,434.15074413007693
437,12,9,1.6359662495480933,687.2596624954809
271,35,8,3.710073136480486,579.6007313648049
456,172,1,4.528430769592397,357.68430769592396
280,19,9,2.8025484895204977,621.8254848952049
286,263,1,2.8945106836939205,274.5451068369392
192,141,4,0.9822740510289922,334.0227405102899
220,142,4,2.513355650705546,363.53355650705544
78,91,5,2.8967776990476044,336.16777699047606
85,287,2,1.5911172663562834,215.81117266356284
62,214,7,1.7115945392722143,440.91594539272216
209,50,0,2.197778733970802,136.47778733970802
376,152,5,0.5903203899997687,474.30320389999764
236,185,3,1.9493562451243023,324.493562451243
292,62,0,1.4515160314844509,172.9151603148445
135,189,6,1.9737380848006159,425.0373808480062
333,124,8,1.0389295931866305,601.6892959318662
115,149,3,4.507372763329528,282.3737276332953
219,57,3,3.171166040993219,302.61166040993214
94,179,5,3.5559604361502033,368.359604361502
111,169,2,4.051270573733023,229.81270573733025
490,270,5,2.7429898951807576,576.4298989518076
183,53,6,0.8911412963934067,411.0114129639341
333,100,9,2.916979438183465,665.6697943818347
77,263,9,3.140785031093956,572.5078503109396
157,52,2,3.854477633829485,227.44477633829484
